sex_label,timepoint,intercept,slope,slope_se,ci_lo,ci_hi,r_squared,p_vs1,n
Female,1w,-0.006531176816193466,0.12273920918435947,0.07863758346447454,-0.04487283235491367,0.2903512507236326,0.1397189797485022,5.818903999032877e-9,17
Female,2w,-0.0031003015010381625,0.1393307570104733,0.06479917005463641,0.001214595444867933,0.2774469185760786,0.23560383152708023,5.334334846772217e-10,17
Female,4w,0.01512930861338682,0.3067257374339169,0.09495798257719573,0.10542380696516016,0.5080276679026736,0.3947115771503493,8.892984062608812e-7,18
Female,8w,0.022503621612887437,0.14973661478149833,0.05296693809706729,0.03745172202600125,0.2620215075369954,0.3331063359988346,1.3757942374235654e-11,18
Male,1w,0.01203973996850238,0.24845298578121097,0.08251405859300535,0.07353099570964586,0.42337497585277606,0.3616940966561545,4.95657894595802e-8,18
Male,2w,0.017039127824393516,0.7051074482340973,0.20785502281024928,0.2644744839088952,1.1457404125592994,0.41834525633366754,0.08758008823758,18
Male,4w,0.011921427802365837,0.3802365333126609,0.1195400977731778,0.12682284657387444,0.6336502200514473,0.3873879035430445,4.51848803712877e-5,18
Male,8w,0.041864539912298715,0.6506587235154647,0.1023715439171882,0.4336407450759561,0.8676767019549734,0.7162964481837426,0.0017824990960977917,18
