Approach,n_tissues,slope,R2,p_slope_lt1
Neufer framework,18,0.6506587235154647,0.7162964481837426,0.0017824990960977917
MitoCarta OXPHOS vs ROS,18,1.1237845565344706,0.325375829123825,0.6182205617755263
MitoCarta OXPHOS vs all other,18,0.6192129016255713,0.8728719398770062,4.044407607755642e-6
