canonical,metab_group,tissue,sex,comparison_group,logFC,adj_p_value,p_value,n_platform_entries,sex_label,sig_dot
Isocitrate,TCA cycle,HEART,male,2w,1.25351715446274,0.0474796048300391,1.17972751738952e-5,1,Male,●
Isocitrate,TCA cycle,LIVER,female,1w,1.02003165217069,0.0279527675099332,5.20021265256176e-6,1,Female,●
NADPH,NAD redox,HEART,male,1w,-0.8452486867336306,0.00287408697619983,1.96963802923601e-7,2,Male,●
NADPH,NAD redox,HEART,male,4w,-0.7456187366596609,0.034450504267935,7.21230226946554e-6,2,Male,●
Succinate,TCA cycle,LUNG,female,1w,-0.6897438193759117,0.00253674217804852,1.54360476234256e-7,3,Female,●
Succinate,TCA cycle,LUNG,female,2w,-0.892512226117826,0.00373116654747887,2.86504200794651e-7,3,Female,●
Succinate,TCA cycle,LUNG,female,4w,-0.711815540442403,0.00184297504224463,1.00129307184425e-7,3,Female,●
Succinate,TCA cycle,LUNG,male,1w,-0.727192547363123,0.0122606323642999,1.4743529127942e-6,3,Male,●
Succinate,TCA cycle,LUNG,male,2w,-0.7492360132416837,0.00264408775345467,1.66638601082908e-7,3,Male,●
