Scenario,n_tissues,slope,ci_95,R2,p_slope_lt1
All tissues (n=18),18,0.6506587235154647,"[0.434, 0.868]",0.7162964481837426,0.0017824990960977917
Minus BAT,17,1.2202001831387668,"[0.943, 1.497]",0.8547695202867116,0.9446954795894
Minus BLOOD,17,0.44600119288037443,"[0.364, 0.528]",0.9005500423895254,1.6006628800981243e-10
Minus BAT + BLOOD,16,0.5514677039062733,"[0.279, 0.824]",0.5742533820230273,0.0016508780199339917
Minus top-3 (BAT+BLOOD+SKM-GN),15,0.6893403239245934,"[0.384, 0.995]",0.6459756818276324,0.023467552908001343
