sex,tissue,ets_mean,buf_mean,ets_se,buf_se,fitted,residual,std_resid,cooks_d,leverage,cook_thresh,influential
Male,ADRNL,0.10323617354104116,0.07759533113564478,0.01749029313169808,0.0334863201373532,0.10903605680913353,-0.03144072567348876,-0.33766635312011606,0.004147261390336596,0.06781386081705634,0.2222222222222222,FALSE
Male,BAT,-0.7962756385067532,-0.3288450113215735,0.07102887516005761,0.1512609070197452,-0.4762391506049669,0.1473941392833934,3.173821152513265,16.682752517248367,0.7681064744094152,0.2222222222222222,TRUE
Male,BLOOD,0.42611494579048587,0.6332461975270617,0.09411724650840263,0.139191416108226,0.31911994661119764,0.31412625091586405,3.789494421211545,2.538238423924386,0.26117937421325016,0.2222222222222222,TRUE
Male,COLON,0.09023338472850258,0.054697664429335595,0.006066312157585771,0.02000033813828218,0.10057567883822602,-0.04587801440889043,-0.4919639463553385,0.008405557497277736,0.06494799261235677,0.2222222222222222,FALSE
Male,CORTEX,-0.03230433153488027,0.012525863743465072,0.009420895021763595,0.012282935045411537,0.02084544479179314,-0.008319581048328067,-0.08882041016646335,2.3689991071474577e-4,0.05665520329395653,0.2222222222222222,FALSE
Male,HEART,-0.018397772973874123,0.038962902873747415,0.005945048927463329,0.021867516580502476,0.02989386843359046,0.009069034440156956,0.0967825891827376,2.772742481855803e-4,0.05589407610102464,0.2222222222222222,FALSE
Male,HIPPOC,0.017206563607489997,0.027190239207829658,0.012292775913566494,0.024771647074291202,0.0530601406252358,-0.02586990141740614,-0.2760829729551153,0.002257897471935075,0.05593174409061181,0.2222222222222222,FALSE
Male,HYPOTH,-0.03190668936800032,-0.01560667984586342,0.007977254025020607,0.03251531457783933,0.021104174136511174,-0.03671085398237459,-0.3919217826647069,0.004610118242705347,0.05662738681616693,0.2222222222222222,FALSE
Male,KIDNEY,-0.009438089885534864,-0.05874329706763505,0.006202671890194965,0.019185423932364946,0.03572356439495239,-0.09446686146258744,-1.0079894561288223,0.029928607056954618,0.05563455382726672,0.2222222222222222,FALSE
Male,LIVER,-0.024508151970276757,0.006282897857142854,0.011080319876277108,0.04264428715856209,0.02591809703559541,-0.019635199178452557,-0.20957336164177226,0.001307050470604964,0.05617482782784825,0.2222222222222222,FALSE
Male,LUNG,-0.015314532245943598,-0.016167176180842346,0.008491225292177202,0.021774194182240348,0.03190000590991662,-0.04806718209075897,-0.5129317856565205,0.007771957728197226,0.05578435216012572,0.2222222222222222,FALSE
Male,SKM-GN,0.15682160361047817,0.05880047200442508,0.01279058267630943,0.023107675200914075,0.14390188433714063,-0.08510141233271556,-0.9218312502124469,0.03878366397842744,0.08364495519238113,0.2222222222222222,FALSE
Male,SKM-VL,0.13450244577188422,0.11308438820742349,0.011080292841033216,0.07554058600030122,0.12937972958794092,-0.016295341380517425,-0.1758070337511016,0.0012759060673395094,0.07626472909109992,0.2222222222222222,FALSE
Male,SMLINT,7.940213558839965e-4,0.03267110327923098,0.005858361875800601,0.016407596362116472,0.04238117683416221,-0.009710073554931233,-0.10360524775955327,3.157307083798109e-4,0.05555944999721217,0.2222222222222222,FALSE
Male,SPLEEN,0.06374212122263553,0.10618958643413468,0.010494230734310214,0.028265087338648687,0.08333890714118676,0.022850679292947915,0.24442650961192075,0.0019164775832664705,0.0602881334695782,0.2222222222222222,FALSE
Male,TESTES,-0.017420118346517972,-0.016434719389841968,0.021245085073966084,0.0244288423258661,0.03052998794546499,-0.04696470733530696,-0.5011863911764695,0.007430329638234012,0.05585696451491897,0.2222222222222222,FALSE
Male,VENACV,-0.02352261510052258,0.03509612568439312,0.010456965848912978,0.03935234566736918,0.026559345197247092,0.008536780487146026,0.09111358934105358,2.468134341977414e-4,0.05612385445012895,0.2222222222222222,FALSE
Male,WAT-SC,-0.04273427685483789,-0.01945792067017678,0.01483038124926488,0.03204677691294928,0.014059109883573416,-0.033517030553750195,-0.3579927097519872,0.003910223204558451,0.057512067115601855,0.2222222222222222,FALSE
Female,ADRNL,-0.6665505539810315,-0.0170217761418971,0.06741703956893286,0.0745178742888747,-0.07730340192096458,0.06028162577906748,2.6769416974131692,10.091266103406168,0.7379745142563333,0.2222222222222222,TRUE
