sex,n_tissues,slope,r_squared,p_slope_lt1,slope_WITH_bat,r2_WITH_bat,p_WITH_bat
Male,17,1.2202001831387668,0.8547695202867116,0.9446954795894,0.6507,0.7163,0.00178
Female,17,0.115356421526399,0.2804433258070227,4.709269911386915e-12,0.1497,0.3331,1.38e-11
