ets_gene,buf_gene,r,r_with_bat,delta_r
Ndufs2,Gsr,-0.03362192958089802,0.5671553978294921,-0.6007773274103901
Atp5f1c,Sod1,-0.033693412350132006,0.6884638404817687,-0.7221572528319007
Ndufs8,Txnrd2,-0.03557300410479407,0.6417827427680728,-0.6773557468728668
Atp5f1a,Txn2,-0.0468569159561321,0.5404223779817636,-0.5872792939378957
Atp5f1a,Prdx3,-0.055316959228695985,0.6130566310246768,-0.6683735902533727
Ndufs1,Prdx5,-0.057275886004570425,0.6615623580626511,-0.7188382440672215
Atp5f1e,Gss,-0.062178731464394746,0.3476450507050791,-0.40982378216947385
Ndufs8,Gsr,-0.07065867519676973,0.5707400257962318,-0.6413987009930016
Atp5f1a,Gpx4,-0.07153121368318778,0.5673777154153761,-0.6389089290985639
Ndufs2,Gss,-0.08824197193379278,0.39017424032025577,-0.47841621225404857
Uqcrc2,Gss,-0.09396809383023724,0.33152413201332076,-0.425492225843558
Uqcrc2,Gclc,-0.09425777348716108,-0.48704370574109146,0.3927859322539304
Atp5f1c,Gpx1,-0.09530790618555122,-0.14294011623698574,0.04763221005143452
Ndufs2,Gclc,-0.11070255418381614,-0.5209079658648,0.4102054116809839
Atp5f1a,Txnrd2,-0.11898051163364193,0.6112267818317945,-0.7302072934654364
Ndufs8,Gclc,-0.12491370373867482,-0.526141586099582,0.4012278823609071
