gene,sex,bat_context,n_tissues,r,p_value
Nnt,female,with_BAT,18,-0.42460985405479745,0.0790279190973447
Nnt,female,without_BAT,17,-0.3683221508960115,0.14575744739702517
Nnt,male,with_BAT,18,-0.8686075401534895,2.9337543744794347e-6
Nnt,male,without_BAT,17,-0.3974199580719744,0.11418233776959857
Txnrd2,female,with_BAT,18,0.18919436590080105,0.45211801389832496
Txnrd2,female,without_BAT,17,0.02287971104793611,0.9305438216297564
Txnrd2,male,with_BAT,18,0.8441317202918692,1.0611940503286396e-5
Txnrd2,male,without_BAT,17,0.7186721816872779,0.0011525237013591037
