gene_symbol,framework_category,feature_ID,ensembl_gene,assay,tissue,sex,comparison_group,logFC,adj_p_value,p_value,selection_fdr,tscore,shrunk_logFC,zscore,sex_label,sig_dot,assay_label
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,1w,-0.0736272611383383,1,0.162291058010654,0.323032450727686,NA,-0.0253212506166826,-1.39740752348299,Female,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,2w,-0.116005535422247,1,0.0205588817198831,0.323032450727686,NA,-0.060192277215972,-2.31598877253769,Female,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,4w,-0.0445002712758557,1,0.354198231186976,0.323032450727686,NA,-0.0163314670357595,-0.926476833105773,Female,,Transcript
Sdhc,q_pool,ENSRNOG00000003163,ENSRNOG00000003163,TRNSCRPT,LUNG,female,8w,0.0176861508069151,1,0.699470942965371,0.323032450727686,NA,4.1096202528979e-5,0.386034736533807,Female,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,male,1w,-0.0446948857029985,1,0.34139612073161,0.849706707447143,NA,-0.0161814330016381,-0.951410325575474,Male,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,male,2w,-0.0237603676708524,1,0.623736354466237,0.849706707447143,NA,-0.00333564642703875,-0.490561878485854,Male,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,male,4w,0.00505661777648264,1,0.923778829703319,0.849706707447143,NA,8.78019634679154e-4,0.0956748327985512,Male,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,male,8w,0.00145638634359431,1,0.978567821443168,0.849706707447143,NA,1.83687440920652e-4,0.026864483380669,Male,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,female,1w,-0.0563313170495494,1,0.277500484751677,0.849706707447143,NA,-0.0177006794269649,-1.08595142216764,Female,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,female,2w,-0.0319339676320567,1,0.516434261396562,0.849706707447143,NA,-0.0142395555376259,-0.6488516617235,Female,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,female,4w,-0.0664442136930964,1,0.16061313815198,0.849706707447143,NA,-0.0257372146030315,-1.4030124106081,Female,,Transcript
Sdhb,q_pool,ENSRNOG00000007967,ENSRNOG00000007967,TRNSCRPT,LUNG,female,8w,0.0639700889646581,1,0.155894590907093,0.849706707447143,NA,2.42832990746396e-4,1.41901517862599,Female,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,male,1w,-0.00105983288558467,1,0.972777658886524,0.838503753447582,NA,-5.68558505191857e-4,-0.0341247668584935,Male,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,male,2w,0.0197273944476157,1,0.53887975729566,0.838503753447582,NA,0.00457830634057166,0.614507895452447,Male,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,male,4w,0.0427482969249474,1,0.223752609019568,0.838503753447582,NA,0.0136949013016913,1.21661007132429,Male,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,male,8w,0.0273877251295327,1,0.44434664752291,0.838503753447582,NA,0.00516229000715324,0.764873882405045,Male,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,female,1w,0.0680955363146135,1,0.0334288709907081,0.838503753447582,NA,0.040865415941064,2.12689424686257,Female,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,female,2w,0.0439728580219037,1,0.148544869331913,0.838503753447582,NA,0.0290942651364291,1.44469039389772,Female,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,female,4w,0.0733639056545748,1,0.0118521781676016,0.838503753447582,NA,0.0466102139466537,2.51651521795057,Female,,Transcript
Sdha,q_pool,ENSRNOG00000013331,ENSRNOG00000013331,TRNSCRPT,LUNG,female,8w,0.0335623039486231,1,0.230015743901989,0.838503753447582,NA,1.56122361287583e-4,1.20031830336567,Female,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,male,1w,-0.0556991880845588,1,0.213728739652917,1,NA,-0.0216040561759271,-1.24337754853735,Male,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,male,2w,-0.0457513168554632,1,0.322452358599977,1,NA,-0.00715389996579346,-0.9894309079319,Male,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,male,4w,-0.0173031472874484,1,0.731808640011629,1,NA,-0.0032340787785568,-0.342720631534133,Male,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,male,8w,-0.00546772301040211,1,0.915821296193886,1,NA,-7.16352614155589e-4,-0.105698845732704,Male,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,female,1w,-0.0162131780867525,1,0.746557278986293,1,NA,-0.0044482962640740404,-0.323182175658007,Female,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,female,2w,-0.0186773400252455,1,0.694484428846565,1,NA,-0.0085275211237911,-0.392776681505323,Female,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,female,4w,-0.00266471073542527,1,0.953473847238237,1,NA,-0.00100348499843277,-0.0583449704803165,Female,,Transcript
Sdhd,q_pool,ENSRNOG00000022980,ENSRNOG00000022980,TRNSCRPT,LUNG,female,8w,0.00511916062067991,1,0.906712794880227,1,NA,1.20061673677687e-5,0.117185830871234,Female,,Transcript
